acq_date,fire_count,mean_frp,soil_temp_level_1,soil_moisture_level_1
2019-02-13,4,5.7175,,
2019-02-14,2,0.76,,
2019-02-15,2,7.22,,
2019-02-16,1,1.38,,
2019-02-17,3,5.403333333333333,,
2019-02-19,1,3.45,,
2019-02-20,19,27.496842105263156,,
2019-02-22,1,6.96,,
2019-02-23,6,13.686666666666667,,
2019-02-24,1,0.69,,
2019-02-25,6,4.2299999999999995,,
2019-02-26,3,19.31,,
2019-02-27,1,38.2,,
2019-03-01,9,13.627777777777778,,
2019-03-04,1,7.55,,
2019-03-05,4,5.9325,,
2019-03-06,1,1.07,,
2019-03-07,5,10.262,,
2019-03-08,5,4.462,,
2019-03-09,4,1.3925,,
2019-03-10,1,2.39,,
2019-03-11,1,10.15,,
2019-03-12,5,3.6339999999999995,,
2019-03-15,2,3.505,,
2019-03-16,5,6.746,,
2019-03-17,6,2.138333333333333,,
2019-03-18,4,1.9749999999999999,,
2019-03-19,7,7.807142857142857,,
2019-03-20,6,4.2716666666666665,,
2019-03-23,2,6.26,,
2019-03-24,2,2.3449999999999998,,
2019-03-25,3,1.67,,
2019-03-26,7,5.141428571428571,,
2019-03-27,7,14.517142857142858,,
2019-03-28,8,6.96125,,
2019-03-29,2,5.24,,
2019-03-30,2,6.404999999999999,,
2019-03-31,2,3.675,,
2019-04-01,10,10.439,,
2019-04-02,4,46.6175,,
2019-04-03,2,2.855,,
2019-04-04,9,4.162222222222223,,
2019-04-06,10,3.7380000000000004,,
2019-04-07,12,5.923333333333333,,
2019-04-08,4,3.9749999999999996,,
2019-04-09,8,5.22875,,
2019-04-10,3,0.71,,
2019-04-11,1,5.91,,
2019-04-12,2,0.91,,
2019-04-14,2,3.54,,
2019-04-15,1,0.57,,
2019-04-16,4,4.9775,,
2019-04-17,2,4.71,,
2019-04-18,3,27.776666666666667,,
